id,Country/Territory,Year of MFN applied tariff,Binding coverage | Bound in %,Simple average | Bound,Simple average | MFN applied,Duty-free | Bound,Duty-free | MFN applied,Non-ad valorem duties | Bound,Non-ad valorem duties | MFN applied,Duties > 15% | Bound,Duties > 15% | MFN applied,Duties > 3 * AVG | Bound,Duties > 3 * AVG | MFN applied,Concessions not yet implemented in 2024,Maximum duty | Bound,Maximum duty | MFN applied,Number of distinct duty rates | Bound,Number of distinct duty rates | MFN applied,Coefficient of variation | Bound,Coefficient of variation | MFN applied,Number of MFN applied tariff lines,Country/Territory.1,N
360,Indonesia                                                                                                                                             ,2024,95.8,35.5,7.9,2.8,   14.0,0.0,0.0,89.3,9.3,0.0,5.7,0.0,60.0,    150,9.0,16.0,25.0,110.0,9972.0,Indonesia,N
376,Israel                                                                                                                                                ,    ,71.9,10.3,,11.7,,7.8,,11.4,,4.3,,0.0,584.0,,177.0,,150.0,,,Israel,I
388,Jamaica                                                                                                                                               ,2024,100.0,42.3,6.8,0.3,   62.9,0.0,0.0,81.5,22.9,0.0,4.8,0.0,100.0,     50,11.0,9.0,39.0,135.0,6492.0,Jamaica,N
392,Japan                                                                                                                                                 ,2024,99.6,2.4,2.4,55.9,   56.8,1.7,1.8,0.7,0.7,10.6,9.5,0.0,237.0,    161,119.0,138.0,202.0,177.0,7939.0,Japan,I
400,Jordan                                                                                                                                                ,2024,100.0,15.0,2.9,7.0,   59.3,0.1,0.0,46.1,3.4,0.0,5.3,0.0,56.0,     25,12.0,4.0,66.0,170.0,6047.0,Jordan,I
398,Kazakhstan                                                                                                                                            ,2024,100.0,5.9,5.1,16.3,   27.4,6.2,5.6,0.0,0.0,0.0,0.0,0.0,18.0,     16,90.0,85.0,74.0,90.0,10526.0,Kazakhstan,N
404,Kenya                                                                                                                                                 ,2024,2.8,57.9,13.1,0.0,   40.7,0.0,12.9,2.8,38.6,0.0,0.6,0.0,100.0,     94,5.0,30.0,27.0,101.0,5155.0,Kenya,N
296,Kiribati                                                                                                                                              ,2024,,,0.0,,  100.0,,0.0,,0.0,,0.0,,,      1,,2.0,,4983.0,4948.0,Kiribati,
410,"Korea, Republic of                                                                                                                                    ",2024,94.1,9.8,6.5,18.3,   19.5,0.1,0.1,11.9,3.7,6.5,3.7,0.0,342.0,     32,38.0,47.0,99.0,75.0,9745.0,"Korea, Republic of",I
414,"Kuwait, the State of                                                                                                                                  ",2024,99.9,97.7,4.6,2.3,    8.5,0.0,0.3,97.6,0.0,0.0,0.0,0.0,100.0,    100,2.0,5.0,21.0,70.0,6556.0,"Kuwait, the State of",N
417,Kyrgyz Republic                                                                                                                                       ,2024,99.9,6.7,6.1,22.4,   16.9,0.2,6.4,0.0,0.7,0.0,0.2,0.0,20.0,     20,12.0,135.0,63.0,72.0,10528.0,Kyrgyz Republic,N
418,Lao People's Democratic Republic                                                                                                                      ,2024,100.0,18.5,8.2,5.5,    0.3,0.0,0.0,58.9,7.8,0.1,2.6,0.0,60.0,     40,14.0,10.0,62.0,80.0,10620.0,Lao People's Democratic Republic,N
422,Lebanese Republic                                                                                                                                     ,2023,,,7.5,,   43.0,,5.7,,8.3,,5.8,,,    467,,28.0,,284.0,5294.0,Lebanese Republic,
426,Lesotho                                                                                                                                               ,2024,100.0,60.1,7.4,0.0,   62.7,0.0,0.9,100.0,19.8,0.1,9.0,0.0,200.0,     60,3.0,41.0,6.0,139.0,7252.0,Lesotho,N
430,Liberia                                                                                                                                               ,2024,100.0,27.2,11.4,0.1,    2.0,0.0,0.0,88.5,36.1,0.0,0.4,0.0,50.0,     35,10.0,5.0,38.0,60.0,5442.0,Liberia,N
434,Libya                                                                                                                                                 ,2024,,,4.8,,    8.7,,0.0,,0.9,,0.9,,,     30,,5.0,,61.0,5125.0,Libya,
446,"Macao, China                                                                                                                                          ",2024,19.2,0.0,0.0,19.2,  100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      0,1.0,1.0,0.0,0.0,6038.0,"Macao, China",N
450,Madagascar                                                                                                                                            ,2024,20.8,25.1,11.5,0.1,    5.2,0.0,0.0,17.7,35.6,0.0,0.0,0.0,30.0,     20,12.0,7.0,29.0,59.0,6141.0,Madagascar,N
