id,Country/Territory,Year of MFN applied tariff,Binding coverage | Bound in %,Simple average | Bound,Simple average | MFN applied,Duty-free | Bound,Duty-free | MFN applied,Non-ad valorem duties | Bound,Non-ad valorem duties | MFN applied,Duties > 15% | Bound,Duties > 15% | MFN applied,Duties > 3 * AVG | Bound,Duties > 3 * AVG | MFN applied,Concessions not yet implemented in 2024,Maximum duty | Bound,Maximum duty | MFN applied,Number of distinct duty rates | Bound,Number of distinct duty rates | MFN applied,Coefficient of variation | Bound,Coefficient of variation | MFN applied,Number of MFN applied tariff lines,Country/Territory.1,N
562,Niger                                                                                                                                                 ,2024,96.9,45.2,12.0,0.7,1.7,0.0,0.0,76.6,38.6,3.3,0.0,0.0,    200,     35,13.0,5.0,76.0,61.0,6380.0,Niger,N
566,Nigeria                                                                                                                                               ,2024,19.7,120.5,12.0,0.0,1.7,0.0,0.0,19.7,38.6,0.0,0.0,0.0,    150,     35,7.0,5.0,39.0,61.0,6380.0,Nigeria,N
807,North Macedonia                                                                                                                                       ,2024,100.0,7.0,6.4,39.5,44.0,1.4,1.4,11.3,10.8,4.0,5.9,0.0,     65,     65,134.0,160.0,117.0,130.0,10288.0,North Macedonia,I
578,Norway                                                                                                                                                ,2024,100.0,22.2,4.4,49.6,89.9,11.5,5.8,7.0,4.4,6.6,4.8,0.0, > 1000, > 1000,357.0,296.0,321.0,506.0,7411.0,Norway,I
512,Oman                                                                                                                                                  ,2024,100.0,14.1,5.6,6.1,10.5,0.0,0.6,5.5,1.2,1.4,1.2,0.0,    200,    200,15.0,15.0,138.0,210.0,7981.0,Oman,N
586,Pakistan                                                                                                                                              ,2024,98.6,60.8,10.3,0.0,31.1,0.1,0.8,95.0,39.0,0.0,2.3,0.0,    200,    145,17.0,32.0,37.0,110.0,7578.0,Pakistan,N
585,Palau                                                                                                                                                 ,2024,,,0.0,,99.6,,0.0,,0.2,,0.4,,,     20,,4.0,,1865.0,5770.0,Palau,
591,Panama                                                                                                                                                ,2024,100.0,22.6,5.1,4.1,56.7,0.2,0.0,66.8,1.2,0.5,1.2,0.0,    260,    260,48.0,30.0,64.0,186.0,9657.0,Panama,N
598,Papua New Guinea                                                                                                                                      ,2024,100.0,32.8,4.1,0.0,76.5,1.0,1.2,71.2,6.3,0.6,16.5,0.0,    190,    190,25.0,29.0,58.0,246.0,6078.0,Papua New Guinea,I
600,Paraguay                                                                                                                                              ,2024,100.0,33.4,8.6,0.0,28.7,0.0,0.0,94.8,20.4,0.0,0.4,0.0,     35,     35,7.0,48.0,22.0,94.0,10514.0,Paraguay,N
604,Peru                                                                                                                                                  ,2023,100.0,29.6,2.3,1.8,69.1,0.0,0.0,98.2,0.0,0.0,9.4,0.0,     68,     11,3.0,3.0,20.0,165.0,8002.0,Peru,N
608,Philippines                                                                                                                                           ,2024,67.6,24.9,6.0,5.0,13.3,0.0,0.0,54.8,3.2,0.0,3.2,0.0,     60,     65,18.0,34.0,61.0,111.0,11513.0,Philippines,N
634,Qatar                                                                                                                                                 ,2024,100.0,15.6,4.7,3.1,10.5,0.0,0.0,17.2,0.2,0.7,0.2,0.0,    200,    100,16.0,3.0,110.0,134.0,7877.0,Qatar,N
643,Russian Federation                                                                                                                                    ,2024,100.0,7.6,6.6,3.4,15.4,9.1,8.8,1.7,1.5,0.6,0.9,0.0,    194,    193,234.0,254.0,104.0,113.0,13236.0,Russian Federation,I
646,Rwanda                                                                                                                                                ,2024,100.0,89.3,13.8,1.1,39.0,0.0,0.5,96.9,41.3,0.0,0.7,0.0,    100,    100,15.0,16.0,31.0,99.0,5963.0,Rwanda,N
659,Saint Kitts and Nevis                                                                                                                                 ,,95.2,76.5,,0.0,,0.0,,95.1,,0.1,,0.0,    250,,23.0,,26.0,,,Saint Kitts and Nevis,N
662,Saint Lucia                                                                                                                                           ,,99.5,64.6,,0.0,,0.0,,99.5,,0.3,,0.0,    250,,37.0,,46.0,,,Saint Lucia,N
670,Saint Vincent and the Grenadines                                                                                                                      ,2023,99.7,65.2,10.8,0.0,8.7,0.0,0.2,99.7,25.8,0.3,7.9,0.0,    250,    100,38.0,14.0,46.0,106.0,7127.0,Saint Vincent and the Grenadines,N
882,Samoa                                                                                                                                                 ,,100.0,21.4,,0.0,,0.5,,54.4,,0.1,,0.0,    312,,22.0,,41.0,,,Samoa,I
682,"Saudi Arabia, Kingdom of                                                                                                                              ",2024,100.0,11.0,5.9,6.9,10.1,1.3,0.2,1.3,1.2,0.2,1.2,0.0,    799,    100,25.0,18.0,149.0,111.0,12790.0,"Saudi Arabia, Kingdom of",I
686,Senegal                                                                                                                                               ,2024,100.0,30.0,12.0,0.0,1.7,0.0,0.0,99.8,38.6,0.0,0.0,0.0,     30,     35,2.0,5.0,2.0,61.0,6380.0,Senegal,N
892,Serbia                                                                                                                                                ,2024,,,7.3,,1.3,,0.0,,12.9,,5.7,,,     30,,16.0,,96.0,10492.0,Serbia,
690,Seychelles                                                                                                                                            ,2024,100.0,9.8,2.6,46.9,90.8,0.0,0.5,27.6,6.1,0.6,8.6,0.0,    200,    200,8.0,20.0,141.0,474.0,6127.0,Seychelles,N
694,Sierra Leone                                                                                                                                          ,2024,100.0,47.3,12.0,0.0,1.7,0.0,0.0,100.0,38.6,0.0,0.0,0.0,     80,     35,7.0,5.0,13.0,61.0,6380.0,Sierra Leone,N
702,Singapore                                                                                                                                             ,2024,72.0,8.9,0.0,17.3,100.0,0.5,0.0,0.4,0.0,0.4,0.0,0.0, > 1000,     89,22.0,3.0,447.0,4502.0,11413.0,Singapore,I
90,Solomon Islands                                                                                                                                       ,,100.0,78.5,,0.0,,1.3,,96.4,,0.0,,0.0,    487,,19.0,,22.0,,,Solomon Islands,I
706,Somalia                                                                                                                                               ,2024,,,15.6,,0.0,,0.8,,42.5,,0.0,,,     35,,7.0,,58.0,5469.0,Somalia,
710,South Africa                                                                                                                                          ,2024,93.8,19.0,7.5,14.2,60.5,0.0,2.4,38.3,20.1,3.3,9.1,0.0,    597,    473,58.0,102.0,129.0,151.0,8477.0,South Africa,N
728,South Sudan                                                                                                                                           ,2024,,,10.7,,0.1,,0.0,,15.0,,0.0,,,     30,,7.0,,49.0,5682.0,South Sudan,
144,Sri Lanka                                                                                                                                             ,2024,40.5,32.3,8.4,0.2,52.1,0.6,14.7,27.7,30.6,0.0,1.6,0.0,    175,    430,22.0,185.0,63.0,167.0,8158.0,Sri Lanka,N
740,Suriname                                                                                                                                              ,2024,27.5,18.0,10.4,1.4,4.5,0.0,0.0,21.5,24.7,0.0,6.1,0.0,     40,     50,17.0,10.0,52.0,93.0,6288.0,Suriname,N
756,Switzerland                                                                                                                                           ,2024,99.7,6.9,3.9,20.9,90.1,78.8,9.9,6.3,3.8,5.2,4.0,0.0, > 1000,    928,810.0,579.0,371.0,479.0,7190.0,Switzerland,I
158,Chinese Taipei                                                                                                                                        ,2024,100.0,6.7,6.3,30.1,31.7,1.3,1.2,8.9,8.7,4.7,7.5,0.0,    664,    664,159.0,140.0,206.0,208.0,9334.0,Chinese Taipei,I
762,Tajikistan                                                                                                                                            ,,100.0,7.9,,12.5,,0.4,,7.1,,0.7,,0.0,    194,,29.0,,79.0,,,Tajikistan,I
834,Tanzania                                                                                                                                              ,2024,13.9,120.0,14.2,0.0,38.2,0.0,1.7,13.9,42.7,0.0,0.8,0.0,    120,    120,1.0,20.0,0.0,98.0,5961.0,Tanzania,N
764,Thailand                                                                                                                                              ,2024,76.9,26.6,9.9,4.9,37.8,18.6,8.5,64.4,21.9,1.1,14.9,0.0, > 1000,    226,146.0,99.0,88.0,150.0,11413.0,Thailand,I
626,Timor-Leste                                                                                                                                           ,2023,100.0,11.5,2.5,1.4,0.0,0.0,0.9,7.0,0.0,3.4,0.3,3.2,     80,     10,11.0,3.0,67.0,16.0,5950.0,Timor-Leste,N
768,Togo                                                                                                                                                  ,2024,14.4,80.0,12.0,0.0,1.7,0.0,0.0,14.4,38.6,0.0,0.0,0.0,     80,     35,1.0,5.0,0.0,61.0,6380.0,Togo,N
776,Tonga                                                                                                                                                 ,2024,100.0,17.6,10.7,0.0,20.7,0.0,0.0,52.0,6.7,0.0,0.0,0.0,     20,     20,4.0,5.0,14.0,68.0,5715.0,Tonga,N
780,Trinidad and Tobago                                                                                                                                   ,2023,100.0,55.7,8.2,1.5,66.1,0.0,0.4,94.9,26.3,0.0,10.2,0.0,    156,    100,16.0,35.0,37.0,150.0,6559.0,Trinidad and Tobago,N
788,Tunisia                                                                                                                                               ,2024,58.0,57.9,19.4,0.0,35.2,0.0,0.0,58.0,41.8,1.1,0.0,0.0,    200,     50,42.0,11.0,70.0,78.0,17510.0,Tunisia,N
792,Türkiye                                                                                                                                               ,2024,50.5,28.9,17.3,2.9,19.4,0.1,0.8,29.2,35.2,2.9,5.7,0.0,    225,    225,294.0,352.0,119.0,149.0,11479.0,Türkiye,N
800,Uganda                                                                                                                                                ,2024,16.6,72.9,15.8,0.0,38.5,0.0,1.4,16.6,42.7,0.0,2.6,0.0,     80,    171,5.0,20.0,18.0,104.0,5965.0,Uganda,N
804,Ukraine                                                                                                                                               ,2024,100.0,5.8,4.3,31.4,42.5,0.2,0.2,4.0,2.7,3.9,4.2,0.0,     50,     50,53.0,48.0,93.0,116.0,11007.0,Ukraine,N
784,United Arab Emirates                                                                                                                                  ,2024,100.0,14.5,4.7,3.1,10.5,0.0,1.3,0.8,0.2,0.8,0.2,0.0,    200,    100,11.0,6.0,119.0,134.0,7901.0,United Arab Emirates,N
826,United Kingdom                                                                                                                                        ,2024,100.0,5.0,3.7,29.8,53.0,5.1,3.8,4.6,3.8,4.6,10.5,0.0,    272,    170,550.0,293.0,165.0,177.0,9794.0,United Kingdom,I
840,United States of America                                                                                                                              ,2024,100.0,3.4,3.3,46.5,47.5,8.2,8.3,2.7,2.7,7.5,7.1,0.0,    350,    350,734.0,738.0,299.0,265.0,11961.0,United States of America,N
858,Uruguay                                                                                                                                               ,2024,100.0,31.5,9.0,0.0,27.3,0.0,0.0,98.0,26.1,0.0,0.4,0.0,     55,     35,19.0,19.0,23.0,87.0,12188.0,Uruguay,N
548,Vanuatu                                                                                                                                               ,2024,100.0,40.1,9.0,3.4,27.3,0.0,0.0,96.3,10.8,0.0,5.7,0.0,    210,     75,16.0,13.0,29.0,98.0,5756.0,Vanuatu,N
862,"Venezuela, Bolivarian Republic of                                                                                                                     ",2023,100.0,36.5,13.8,0.0,4.9,0.0,0.0,99.0,36.8,2.0,0.0,0.0,    135,     40,44.0,17.0,41.0,71.0,11168.0,"Venezuela, Bolivarian Republic of",N
704,Viet Nam                                                                                                                                              ,2024,100.0,11.7,9.5,13.9,36.1,0.0,0.2,27.4,23.8,4.1,6.6,0.0,    200,    135,51.0,39.0,113.0,123.0,11682.0,Viet Nam,I
887,Yemen                                                                                                                                                 ,,100.0,21.7,,0.1,,1.1,,88.4,,0.3,,0.0,    100,,35.0,,40.0,,,Yemen,N
894,Zambia                                                                                                                                                ,2024,17.2,106.7,14.5,0.0,24.8,0.0,2.8,17.2,34.7,0.0,0.0,0.0,    125,     40,7.0,22.0,32.0,85.0,6711.0,Zambia,N
716,Zimbabwe                                                                                                                                              ,,24.5,84.1,,3.4,,0.6,,15.3,,0.0,,0.0,    150,,18.0,,90.0,,,Zimbabwe,N
